adc24,Basic Cleaning,Mark,None,100,2025-06-07,good job
453w,Basic Cleaning,Mark,candies; rice,100,2025-06-07,great job!
2wsd,Basic Cleaning,Mark,None,100,2025-06-07,i lost my tire!
3456df,Basic Cleaning,Ella,None,100,2025-06-07,yikes!
5ty6,Basic Cleaning,John,None,100,2025-06-07,eeew...
h34,"Basic Cleaning, Additional Wax",Mark,None,150,2025-06-07,incomplete
dwe3,"Basic Cleaning, Vacuum",Mark,None,150,2025-06-07,dirty
fra123,Basic Cleaning,Mark,None,100,2025-06-09,dirty
424,Basic Cleaning,John,None,100,2025-06-09,yikes
456as,Basic Cleaning,Mark,None,100,2025-06-09,yikes
456as,Basic Cleaning,Mark,None,100,2025-06-09,perfect
342d,Basic Cleaning,Mark,None,100,2025-06-09,perfect
24,Basic Cleaning,Mark,None,100,2025-06-09,perfect
42,Basic Cleaning,Mark,None,100,2025-06-09,perfect
42,Basic Cleaning,Mark,None,100,2025-06-09,perfect
23,Basic Cleaning,Ella,None,100,2025-06-09,perfect
67,Basic Cleaning,Ella,None,100,2025-06-09,perfect
123,Basic Cleaning,Mark,None,100,2025-06-09,perfect
ww,Basic Cleaning,Mark,None,100,2025-06-09,perfect
24,Basic Cleaning,Mark,None,100,2025-06-09,perfect
43,Basic Cleaning,Mark,None,100,2025-06-09,perfect
43,Basic Cleaning,Mark,None,100,2025-06-09,perfect
ER,Basic Cleaning,Mark,None,100,2025-06-09,perfect
432,Basic Cleaning,Mark,None,100,2025-06-09,perfect
2342,Basic Cleaning,Mark,None,100,2025-06-09,perfect
rew,Basic Cleaning,Mark,None,100,2025-06-09,yikes
64,Basic Cleaning,Mark,None,100,2025-06-09,yikes
32,Basic Cleaning,Mark,None,100,2025-06-09,perfect
42,Basic Cleaning,Mark,None,100,2025-06-09,yikes
465,Basic Cleaning,Mark,None,100,2025-06-09,perfect
34,Basic Cleaning,Mark,None,100,2025-06-09,yikes
42,Basic Cleaning,Mark,None,100,2025-06-09,perfect
43,Basic Cleaning,Mark,None,100,2025-06-09,perfect
24,Basic Cleaning,Mark,None,100,2025-06-09,yikes
2332,Basic Cleaning,Mark,None,100,2025-06-09,perfect
e34,Basic Cleaning,Mark,None,100,2025-06-09,yikes
HPY111,"Basic Cleaning, Vacuum",Mark,None,150,2025-06-09,perfect
432,"Basic Cleaning, Additional Wax",Mark,None,150,2025-06-09,perfect
231,Basic Cleaning,Mark,None,100,2025-06-09,yikes
